Account,Debit,Credit
Cash,148000,
Accounts receivable,1180000,
Allowance for doubtful accounts,,42000
Inventory,790000,
Equipment,1610000,
Accumulated depreciation,,528000
Accounts payable,,912000
Accrued wages,,143000
Line of credit,,690000
Customer deposits,,100000
Long-term debt,,690000
Common stock,,50000
Retained earnings,,1005000
Sales,,5610000
Cost of goods sold,3640000,
Wages expense,1105000,
Rent expense - related party,168000,
Depreciation expense,96000,
Other operating expenses,333000,
Distributions,328000,
